2015-03-19a.879.1	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Edward Davey	The hon. Gentleman knows that my party and I are in favour of this target, which is why we legislated in the Energy Act 2013 to put one in and it will be in our manifesto. But he is wrong if he thinks this target is some sort of panacea for low-carbon energy investment. We were told by the Labour party that if we did not do this, we would not see the supply chain growing. But here is a statistic for him: the supply chain in the UK for low-carbon energy investment is booming. We have had the massive investment from Siemens and Associated British Ports in Hull, transforming that city, and we have seen what MHI Vestas has been doing in the Isle of Wight. Under this Government, low-carbon energy investment and the whole supply chain are booming.
2015-03-19a.879.2	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Mary Glindon	I am sure that the Minister will be pleased to know that Northumbrian Water has an advanced anaerobic digestion plant in my constituency that is not only producing green energy from the sewage treatment process but injecting it into the gas network. However, according to the Environmental Audit Committee, investment in clean energy is running at only half the rate needed if we are to meet our binding carbon emission commitments. Will the Minister explain why he is failing to generate the investment that we need?
2015-03-19a.879.3	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Edward Davey	Let me give a statistic to the hon. Lady: the annual rate of renewable energy investment in this Parliament is more than double the rate that it was in the previous Parliament. From 2010 to 2014, low-carbon investment has amounted to more than £40 billion. That is a record of which we are very proud.
2015-03-19a.879.4	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	David Hanson	What assessment has the Secretary of State made of the impact on employment in the onshore wind industry from the effective moratorium on onshore wind? He will probably know that my right hon. Friend the Member for Don Valley (Caroline Flint) and I recently visited West Coast Energy in my constituency, which employs many people developing onshore wind. The organisation is now threatened by the Secretary of State for Communities and Local Government who is blocking wind farms. Surely the right hon. Gentleman does not support him in that.
2015-03-19a.879.5	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Edward Davey	The right hon. Gentleman will know that onshore wind has boomed under this Government. There is no moratorium, so what he said was wrong, but it is true that there are Conservative colleagues who do not share my enthusiasm for onshore wind. I recently opened the largest onshore wind farm in England at Keadby, and I was able to grant, after the recent very successful first auction of contracts for difference, 15 out of 27 contracts to new onshore wind farms. That sounds to me like we are going ahead fast.
2015-03-19a.880.0	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Karen Buck	When the Government cut the feed-in tariff for solar, we were promised a scheme that would “serve the many, not the few”. Will the Minister help us to understand why the number of households getting solar halved between 2012 and 2014?
2015-03-19a.880.1	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Edward Davey	I simply do not recognise the hon. Lady’s statistics. Let me give the House one statistic: 99% of the UK’s solar installations were put in under this Government. We have seen more than £11 billion invested in solar, which is a fantastic record.
2015-03-19a.880.2	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Gregory Barker	Without doubt, investment in low-carbon energy is booming, thanks to the bold reforms of this coalition Government and our long-term economic plan. But one of the unsung success stories of this Government has been the renewable heat incentive. Will the Secretary of State update us on just how many thousands of commercial, industrial and residential installations there now are?
2015-03-19a.880.3	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Edward Davey	In answering my right hon. Friend’s question, may I pay tribute to him for the role he played in this boom, particularly in the renewable heat incentive? We have seen more than 25,000 domestic installations. I cannot give him the figure for non-domestic installations, but we are seeing a big increase. Now that this renewable heat scheme has really got going, the next Parliament will need to build on our success.
2015-03-19a.880.4	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Julie Elliott	Every few months, the consultancy firm EY publishes its renewable energy attractiveness index. This month, the UK fell yet again. In November 2013, we were fourth in the world. In February 2014, we fell to fifth; in May 2014, to sixth; and in September 2014, to seventh. This month, the UK fell to eighth, which is a 12-year low. The Secretary of State’s sole solution to our broken energy market is telling people to switch. In order to reverse that appalling record, is it not time we switched to a Labour Government so that we can drive the investment, create the skilled jobs and produce the clean energy that our country needs to succeed?
2015-03-19a.880.5	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Edward Davey	The hon. Lady has scored a massive own goal. She trailed us going down the attractiveness index for future investment, but she should realise that the closer we get to the election, the more worried investors are. Members do not have to believe me about the potential threat of a Labour Government to investment; they can believe the Secretary-General of the OECD, Angel Gurria, who said that Labour’s energy price freeze could bankrupt investors. That is why the index is going in the wrong direction. The hon. Lady might also want to know that that index was prepared as a snapshot before the recent successful contracts for difference auction, which saw 27 new renewable energy plant contracts issued. This Government are seeing huge investment. The only thing that can stop that investment is the election of a Labour Government. Energy Supply Market
2015-03-19a.881.0	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Adam Afriyie	What recent steps he has taken to increase competition in the energy supply market.
2015-03-19a.881.1	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Matthew Hancock	We have made it quicker and easier for consumers to switch supplier. Now 10% of dual-fuel customers use one of the 21 independent suppliers in the domestic retail market, which provides more competition and more choice for consumers.
2015-03-19a.881.2	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Adam Afriyie	It really saddens me that Labour’s misunderstanding of markets meant that it backed the big energy businesses and drove the smaller ones out of operation. If we are to have a healthy energy market, it seems to me that what we need is more competition and faster switching so that consumers can enjoy lower prices and better quality services. Does my right hon. Friend agree?
2015-03-19a.881.3	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Matthew Hancock	My hon. Friend is completely right. We have halved the time it takes to switch. Our Power to Switch campaign is now up and running. I myself am going to switch energy supplier today as part of that campaign, and I look forward to saving serious amounts of money as a result. I urge all Members, and indeed all consumers, to consider switching, because the power of competition is one of the best ways to get energy bills down. Instead of the big six that Labour created, we now have 21 new independent suppliers.
2015-03-19a.881.4	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	John Robertson	It might be better if the right hon. Gentleman switched party, rather than energy supplier. Is not part of the problem with cost down to the fact that we have companies that generate electricity selling it to themselves, which allows them to hike the prices paid by consumers? People need those prices to come down in order to heat their homes. Why not just split those roles completely to ensure that we get an honest broker in the middle?
2015-03-19a.881.5	ENERGY AND CLIMATE CHANGE	Low-carbon Energy Sources	Matthew Hancock	First, we got the Competition and Markets Authority to look into that matter, because it had not been investigated under the previous Government. The CMA’s initial conclusion was that we have a competitive market at that level, so the precise detail that the hon. Gentleman sets out is not the problem. The remaining problem in the UK’s energy market is that it needs to be more competitive in order to get a better deal for customers. The last thing anybody needs is for prices to be frozen at the high levels at which Labour proposed to freeze them.
2015-03-19a.881.7	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Wayne David	What steps he is taking to help households with their energy bills.
2015-03-19a.881.8	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Susan Elan Jones	What steps he is taking to help households with their energy bills.
2015-03-19a.882.0	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Chris Evans	What steps he is taking to help households with their energy bills.
2015-03-19a.882.1	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Amber Rudd	Energy bills are a significant and important part of people’s household budgets. The Government have delivered, on average, a £50 reduction in energy bills, boosted competition in the energy market and ensured that fairer tariffs are in place. Last year alone, 3.1 million people switched energy supplier, and we are helping more consumers to save up to £200 or more through our Power to Switch campaign.
2015-03-19a.882.2	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Wayne David	Wholesale gas and electricity prices have fallen by some 20% over the past 12 months, yet household bills have gone down by only 5%. Is that fair, and what is the Minister going to do about it?
2015-03-19a.882.3	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Amber Rudd	We are taking action on that. My right hon. Friend the Chancellor led on that by calling in the big six to speak to them about it, and that was followed up by my right hon. Friend the Secretary of State. We have seen reductions. All I can say is thank goodness we did not have the freeze that Labour proposed in September 2013, because we would then have seen no reduction at all. We do not take anything for granted, which is why we are supporting the CMA review into the market. We eagerly await its results at the end of the year, when we can take action.
2015-03-19a.882.4	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Susan Elan Jones	The Ministers words will ring very hollow indeed in many of our rural communities, where people are off-grid and rely on domestic oil for heating. I ask the Minister not to quote what the price happens to be this week, because we know that, like gravity, domestic oil prices go up and down. Will she tell us why the Government have not listened to MPs from across the parties who have asked for domestic oil to be put under the regulator Ofgem?
2015-03-19a.882.5	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Amber Rudd	We have put in place a fuel poverty strategy, which will address some of the issues the hon. Lady raises. We are liaising with Ofgem and are encouraged by the early results from the CMA, and of course we will be taking them up further when they come through at the end of the year.
2015-03-19a.882.6	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Chris Evans	Despite the rosy picture that the Chancellor wanted to portray yesterday, fuel poverty in Wales has gone up by 18% since 2011, and 90,000 people with children cannot afford their energy bills. When are the Government going to take real, tangible action to fight rip-off bills from these energy companies?
2015-03-19a.882.7	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Amber Rudd	The hon. Gentleman may know that the Big Energy Saving Network is active in Wales. That is an initiative from this Department that instructs and funds third parties to go out and help people to switch and to access the warm homes discount. Yesterday in the Budget, my right hon. Friend the Chancellor announced further funding for the Big Energy Saving Network, and that will go exactly to the cause that the hon. Gentleman raises, which we care about as well.
2015-03-19a.883.0	ENERGY AND CLIMATE CHANGE	Household Energy Bills	David Heath	Following on from the question from the hon. Member for Clwyd South (Susan Elan Jones) , many, many people in rural areas like mine are dependent on fuel oil or liquid petroleum gas and have seen their costs go up inexorably over recent years. Even in an unregulated market, is there any way in which the Minister can ensure that the prices now fall commensurate with the fall in oil and gas prices, and do so promptly?
2015-03-19a.883.1	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Amber Rudd	As the hon. Gentleman observes, the price has been falling, and we will keep a careful eye on it to make sure that it continues to fall. I would hope that it should fall at a greater rate than the major energy companies’ bills, because gas prices have been falling at a greater rate.
2015-03-19a.883.2	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Caroline Flint	Recently the hon. Member for Bracknell (Dr Lee) , a respected member of the Energy and Climate Change Committee, admitted that the Conservative party had no clear energy policy and had been relegated to “second fiddle”. Helpfully, he added: “If I’m honest, I don’t think we’ve done particularly well.” If Government Members do not have any confidence in their own party’s energy policy, why should the British people?
2015-03-19a.883.3	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Amber Rudd	I will be answering a question from my hon. Friend the Member for Bracknell (Dr Lee) later, and I look forward to that opportunity. I think that our energy policy is absolutely clear and is delivering what we set out to do. To be honest, the lack of clarity and the chaos is only on the Opposition Benches, because we remain completely confused about the Opposition’s policy towards Ofgem, which they claim to want to amend, on the one hand, and abolish, on the other. As for the price freeze, I think I will hear about that later from my hon. Friend.
2015-03-19a.883.4	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Caroline Flint	I am afraid that there will be nowhere to hide in the forthcoming general election as regards the coalition parties and their energy policies. The facts speak for themselves: energy bills £300 higher; three out of four households being overcharged by their energy supplier; the number of families with children who cannot afford to heat their homes at the highest-ever level; and, as we have heard today—it has been reconfirmed—a Government who, for five years, have just told people to shop around. Does not this show that the only way to help households with their energy bills is to elect a Labour Government to freeze energy prices until 2017 while we reform the market and give the regulator the power to cut bills in time for Christmas?
2015-03-19a.883.5	ENERGY AND CLIMATE CHANGE	Household Energy Bills	Amber Rudd	That is further chaos from Labour about a cap or a freeze—we have no idea which they would do. Let me point out to the right hon. Lady that during 2013 the UK had the lowest household gas prices and the fifth lowest household electricity prices in the EU 15. In no way are we complacent about what has been achieved in helping people; that is why we back the CMA’s reforms. It is very disappointing that she does not back the CMA’s approach, which will give us an independent review that we look forward to enacting at the end of the year.
2015-03-19a.884.1	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Phillip Lee	What assessment he has made of the effect of recent trends in wholesale energy prices on household energy bills.
2015-03-19a.884.2	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Stephen Metcalfe	What assessment he has made of the effect of recent trends in wholesale energy prices on household energy bills.
2015-03-19a.884.3	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Amber Rudd	All the major suppliers have announced reductions to their standard variable gas tariffs in recent weeks in response to reductions in the wholesale gas price. The price of fixed-term deals has continued to fall, with the cheapest deal on the market £100 cheaper than the cheapest deal a year ago. The Competition and Markets Authority has made it clear that it will be looking further at the relationship between wholesale costs and retail prices as part of its investigation.
2015-03-19a.884.4	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Phillip Lee	I thank the Minister for her reply. The news about prices and bills is all very welcome, but does she agree that the next Conservative Government—as I hope and expect it will be—should concentrate primarily on energy efficiency? This would bear down on household bills and, indeed, bills for businesses, while also conserving our planet’s finite resources and helping to secure this great nation’s energy supplies in future.
2015-03-19a.884.5	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Amber Rudd	On this account, my hon. Friend is absolutely right: energy efficiency is indeed the best way to help people and that is why it has been a Government priority for the past few years. He is also absolutely right that the benefit is not only in keeping bills down, but in conserving our resources.
2015-03-19a.884.6	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Stephen Metcalfe	Is my hon. Friend as surprised as I am that the Labour party is still pursuing its policy of a price freeze? If a price is frozen at a high level, surely the danger is that when the market settles at a lower level, my constituents will end up paying more than they are now.
2015-03-19a.884.7	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Mr Speaker	Order. The Minister must not be led astray, away from the path of virtue, by her hon. Friend. She will know that she must not talk about the policies of the Labour party. Her responsibility is with the policy of the Government. A brief and pithy reply on that matter would be in order, but nothing beyond.
2015-03-19a.884.8	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Amber Rudd	Thank you for that guidance, Mr Speaker. My hon. Friend makes an excellent point, revealing the confusion being caused among his constituents. I hope they will make the right interpretation and support him and this Government in the future.
2015-03-19a.884.9	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Barry Gardiner	The drop in wholesale energy prices has allowed Governments around the world—including India, Indonesia and Egypt—to reduce the subsidies to fossil fuels in a way that is commensurate with the proposals of the United Nations framework convention on climate change and the Intergovernmental Panel on Climate Change. However, in yesterday’s Budget the Chancellor gave a £1.3 billion subsidy to our fossil fuel industries. What does the Minister make of that paradox?
2015-03-19a.885.0	ENERGY AND CLIMATE CHANGE	Wholesale Energy Prices	Amber Rudd	The hon. Gentleman, who is well respected in this area, should identify the difference between taxation and subsidy. The point of my right hon. Friend the Chancellor’s announcement yesterday is that North sea oil is an important part of our industry and employment. We still feel there is more to be done in the extractive industries and we should support them despite the fall in oil prices.
2015-03-19a.885.2	ENERGY AND CLIMATE CHANGE	Renewable Energy	Peter Lilley	What assessment he has made of the effect on (a) generating capacity and (b) the transmission network of an increased resilience on intermittent energy supplied by renewable sources.
2015-03-19a.885.3	ENERGY AND CLIMATE CHANGE	Renewable Energy	Matthew Hancock	Electricity generation always needs to balance supply and demand. The transmission system clearly has to change to accommodate expanding renewables, and Ofgem’s new framework will help that happen.
2015-03-19a.885.4	ENERGY AND CLIMATE CHANGE	Renewable Energy	Peter Lilley	I note that my right hon. Friend does not give any costs for the extra capacity required for when the wind does not blow or the sun does not shine and the extra transmission lines required to transmit from long distance. Will he confirm that those costs are not included in the £7.6 billion levy control framework, despite the fact that the former power director of the National Grid puts them at £5 billion a year? If they were included, the potential total cost of all the subsidies could be £500 per household per annum.
2015-03-19a.885.5	ENERGY AND CLIMATE CHANGE	Renewable Energy	Matthew Hancock	The levy control framework specifically controls the amount of direct subsidy, but a whole series of changes need to happen to make sure that our transmission system can keep up with the distribution of energy supply as well as the demand. That includes changes to interconnectors—in other words, getting more of them—and making sure that we have a smarter grid and distribution system. It is difficult at this stage to calculate the cost of those changes.
2015-03-19a.885.6	ENERGY AND CLIMATE CHANGE	Renewable Energy	Tim Yeo	Does my right hon. Friend agree that one very effective way to address the issues raised by intermittency from renewable generation is greater use of demand-side management, which is both cost-effective and environmentally attractive? As we get more sophisticated in our use of demand response, the balance can be maintained even with intermittent peaks and troughs in generation.
2015-03-19a.885.7	ENERGY AND CLIMATE CHANGE	Renewable Energy	Matthew Hancock	I pay tribute to the huge expertise of my parliamentary neighbour, who will step down from this House next week, in this area. He has reminded me of something I should have said in my previous answer, which is to include demand-side response as one of the many ways in which we need to help manage the transmission system with more renewables on the grid.
2015-03-19a.885.8	ENERGY AND CLIMATE CHANGE	Renewable Energy	Tom Greatrex	According to National Grid, on 26 December less than 1% of power generated into the national grid in Scotland came from wind, meaning that electricity generated south of the border and the doubling of output from the coal-fired Longannet power station in Fife kept our lights on. The Minister will be aware that Iberdrola, the Spanish owner of ScottishPower, which operates Longannet, has decided not to invest to make it compliant with the industrial emissions directive and is now threatening to announce the closure of that power station next week, jeopardising hundreds of skilled jobs. Given Iberdrola’s public statements, what discussions has the Minister had with the Spanish power company or National Grid about the implications of potential closure?
2015-03-19a.886.0	ENERGY AND CLIMATE CHANGE	Renewable Energy	Matthew Hancock	We have of course considered the implications of the closure of any major power plant. Alongside National Grid, we continually assess the security of supply risks across Great Britain, including in Scotland. We are confident that we have the tools to address any issues at Longannet and any other fossil fuel plant that may close. We will ensure that the procedures and policies are always put in place to make sure that the supplies of energy are secure.
2015-03-19a.886.1	ENERGY AND CLIMATE CHANGE	Renewable Energy	Tom Greatrex	I thank the Minister for that reply, but he will be aware that various public claims have been made by or on behalf of Iberdrola ScottishPower about the impact of closure on both security of supply and group resilience, and that National Grid has rejected those claims. What assessment has his Department made of the claims and their implications? Given the conflicting statements made in the public domain, will he publish the assessment and advice so that the veracity of the claims and counterclaims can be properly tested?
2015-03-19a.886.2	ENERGY AND CLIMATE CHANGE	Renewable Energy	Matthew Hancock	I have looked in detail at the claims, and they are not correct. National Grid’s assessment is that the closure of Longannet is not a threat to the security of supply. I think that we should trust the assessment of the transmission grid operator, rather than that of an individual company playing one small part in the operation. I will of course look at what we can publish to make those reassurances yet more concrete.
2015-03-19a.886.4	ENERGY AND CLIMATE CHANGE	Unconventional Oil and Gas Exploration	Anne McIntosh	What recent representations he has received on the application of regulations on onshore unconventional oil and gas exploration; and if he will make a statement.
2015-03-19a.886.5	ENERGY AND CLIMATE CHANGE	Unconventional Oil and Gas Exploration	Matthew Hancock	We receive a wide variety of representations on onshore unconventional oil and gas, and we always listen carefully to the views expressed.
2015-03-19a.886.6	ENERGY AND CLIMATE CHANGE	Unconventional Oil and Gas Exploration	Anne McIntosh	The current regulations that apply to unconventional oil and gas exploration onshore have not yet been properly tried and tested. The protections given to national parks, sites of special scientific interest and areas of outstanding natural beauty were withdrawn in the Lords. Given that the regulations will not be published until July, what is the legal position on protections in or under national parks as regards any application that may be submitted this month?
2015-03-19a.887.0	ENERGY AND CLIMATE CHANGE	Unconventional Oil and Gas Exploration	Matthew Hancock	The legal protections are in the Infrastructure Act 2015, which my hon. Friend played a role in shaping as it went through this House. I want to pay tribute to her for her long service in this House for her constituents: she has been unending in her determination to support them. I would say that anybody looking to propose a development of unconventional oil and gas ought to act as though the provisions of the Infrastructure Act were in place. There will be a period before they are formally implemented, but we need to ensure that development continues in the assured and careful manner provided for in the Act.
2015-03-19a.887.2	ENERGY AND CLIMATE CHANGE	Energy Policy (Regional Devolution)	Barry Sheerman	What assessment he has made of the potential merits of devolving energy policy to a regional level.
2015-03-19a.887.3	ENERGY AND CLIMATE CHANGE	Energy Policy (Regional Devolution)	Matthew Hancock	We are proposing further devolution to Scotland and Wales consistent with the need for an efficient and good-value energy system throughout Great Britain.
2015-03-19a.887.4	ENERGY AND CLIMATE CHANGE	Energy Policy (Regional Devolution)	Barry Sheerman	Is it not high time that the regions of the United Kingdom had a chance to have some power over energy policy? Yorkshire in particular, with its offshore wind power and its other resources, knows a lot about energy. Does not all the evidence show that if we grass-root energy policy, even at a community level, and give people ownership of it, perhaps through social systems of ownership, it works better? Taking energy policy down to the grass roots binds people into a good policy.
2015-03-19a.887.5	ENERGY AND CLIMATE CHANGE	Energy Policy (Regional Devolution)	Matthew Hancock	No matter how great a county Yorkshire is—it is, indeed, a great county— [ Interruption. ] —we need to make sure that the system works on a GB-wide basis and that it is as efficient as possible. I agree with the hon. Gentleman that the ability to access distribution networks and indeed the wider grid to ensure that those producing electricity can connect to nearby demand will enhance the ability of communities to play a part. I can see where he is going, but I am not sure that breaking up the GB-wide energy system is the best way to reach a solution.
2015-03-19a.887.6	ENERGY AND CLIMATE CHANGE	Energy Policy (Regional Devolution)	Mr Speaker	I note that a Lancastrian Whip blurted out what might be described as a competitive chant when the right hon. Gentleman was hailing the merits of Yorkshire, but I will not draw any further attention to the matter.
2015-03-19a.887.8	ENERGY AND CLIMATE CHANGE	Tidal Power	Paul Flynn	What support his Department plans to provide to the development of the proposed tidal lagoon project near Newport.
2015-03-19a.887.9	ENERGY AND CLIMATE CHANGE	Tidal Power	Edward Davey	I can confirm that the Government have announced that we are entering into a negotiation on a contract for difference for the Swansea bay lagoon to decide whether the project is affordable and represents value for money. I am strongly in favour of a tidal programme across the UK, subject to the usual planning permissions and to the lessons from the first project or projects being learned. Given that planning permissions are site-specific, the hon. Gentleman will understand that I cannot give a view on the Newport project.
2015-03-19a.888.0	ENERGY AND CLIMATE CHANGE	Tidal Power	Paul Flynn	The belated recognition by the Government of the enormous advantages of tidal power is very welcome. They should examine what has been taking place for the past 50 years at La Rance in Brittany, where the cheapest electricity in the world is being generated. Will the Secretary of State look at the other schemes? The schemes at Newport are far better value than the Swansea scheme. However, we all give a warm welcome to the Government’s recognition that tidal power is a British, eternal, clean, non-carbon and entirely predictable energy source.
2015-03-19a.888.1	ENERGY AND CLIMATE CHANGE	Tidal Power	Edward Davey	I think this is the first time that the hon. Gentleman and I have been in agreement on energy policy, so I would like to mark the occasion. He is right that tidal lagoon power presents a huge opportunity for this country. The Department is looking at it in detail. I hope that it will produce not only the clean energy that we need, but the green jobs that are so important in many parts of the country.
2015-03-19a.888.3	ENERGY AND CLIMATE CHANGE	Solar Energy	Pauline Latham	What steps he is taking to encourage businesses to install solar energy panels.
2015-03-19a.888.4	ENERGY AND CLIMATE CHANGE	Solar Energy	Edward Davey	The solar PV strategy, which we published last spring, sets out how we are maximising the deployment of panels on commercial and industrial buildings. We have taken a range of actions to assist owners of such buildings to deploy solar PV panels. To name just a few, we have consulted on allowing the transfer of panels without the loss of feed-in tariff accreditation; we have made changes to the feed-in tariff to protect the incentive for building mounted solar; and we are working with the property sector to remove other barriers to deployment.
2015-03-19a.888.5	ENERGY AND CLIMATE CHANGE	Solar Energy	Pauline Latham	Vaillant in my constituency is a shining example in this area. It is energy efficient because it has so many solar panels. Does my right hon. Friend acknowledge that after 13 years of Labour, just 6.8% of British electricity came from renewables, whereas since 2010, renewables generation has more than doubled?
2015-03-19a.888.6	ENERGY AND CLIMATE CHANGE	Solar Energy	Edward Davey	The hon. Lady is absolutely right. Renewable electricity generation has more than doubled. In fact, it has gone up by 165% in just a short time. Solar has played a key role in that.
2015-03-19a.888.8	ENERGY AND CLIMATE CHANGE	Tidal Power	Kerry McCarthy	What recent assessment he has made of the merits of proposals for the generation of electricity from tidal lagoons.
2015-03-19a.888.9	ENERGY AND CLIMATE CHANGE	Tidal Power	Edward Davey	I am delighted that we are back on tidal power. My considered view is that tidal energy has many merits: it is clean, renewable, predictable, home-grown and secure. Tidal lagoons can be built in numerous places in the UK and have the potential to meet up to 8% of our electricity needs. Tidal lagoon costs could fall significantly in the next decade, as larger, more cost-effective projects are deployed. With tidal lagoons having the potential to last 120 years, this is a future green energy technology that I hope all parties will strongly support.— [ Interruption. ]
2015-03-19a.889.0	ENERGY AND CLIMATE CHANGE	Tidal Power	Kerry McCarthy	My hon. Friend the Member for Newport West (Paul Flynn) is claiming the credit for most of the Secretary of State’s answer. I share my hon. Friend’s enthusiasm for the prospects for tidal power in the Severn estuary. When does the Minister expect the strike price to be agreed, which will help to spur the full commercialisation of the sector? Does he share the concern of organisations such as Citizens Advice that the current strike price for tidal lagoon power is more expensive than that for any major green energy project to date?
2015-03-19a.889.1	ENERGY AND CLIMATE CHANGE	Tidal Power	Edward Davey	The negotiations with the Tidal Lagoon Power company are bilateral, so they will set the strike price over months and we cannot give an exact timetable on how long they will take. I read the CAB report, but it was not as informed as it might have been. The first tidal lagoon power plant, which will be the world’s first, is likely to be a bit more expensive, just as when the UK had the first offshore wind farm it was a bit more expensive. Unless we invest in new technologies, we will not get the costs down. We have seen the costs of solar tumble. We have seen the costs of offshore wind tumble. We have seen the costs of onshore wind tumble. That has only happened because we have invested in new technology. That is the way that Britain—a world leader—should go.
2015-03-19a.889.2	ENERGY AND CLIMATE CHANGE	Tidal Power	Mr Speaker	Untypically, we are ahead of time and can proceed with dispatch to Topical Questions.
2015-03-19a.889.4	ENERGY AND CLIMATE CHANGE	Topical Questions	Kerry McCarthy	If he will make a statement on his departmental responsibilities.
2015-03-19a.889.5	ENERGY AND CLIMATE CHANGE	Topical Questions	Edward Davey	Since the last oral questions to the Department of Energy and Climate Change, the first auction of low-carbon contracts for difference was completed. I was able to offer contracts for 27 new renewable power plants, including 15 onshore wind farms, two offshore wind farms, and five solar farms. The auction saw onshore wind prices fall by 17%, and offshore wind farm prices by 18%. Today I will publish the first annual update to our country’s first ever community energy strategy. That shows real progress in everything from district heating policy to grid connections, and from state aid clearance for the Green Investment Bank to lend to that sector, to our new water source heat map. As this is the final DECC oral questions of this Parliament, I thank you, Mr Speaker, my Ministers and officials, Her Majesty’s loyal Opposition, and all right hon. and hon. Members for their help and advice—most of the time. The UK is now achieving on all our energy and climate change objectives, and I believe it is leading Europe on the path to a climate change treaty in Paris this December.
2015-03-19a.890.0	ENERGY AND CLIMATE CHANGE	Topical Questions	Kerry McCarthy	I thank the Minister for that response. The community energy stuff will go down well in Bristol, which is European green capital of the year, as I think I have mentioned in every DECC questions. Although we welcome the measures in the Budget, what does the Secretary of State plan to do to diversify skills in the North sea towards low-carbon and renewable technologies, given that the North sea is a mostly mature basin? Does he agree that we need a long-term transition plan for places that are currently heavily reliant on the oil and gas industry?
2015-03-19a.890.1	ENERGY AND CLIMATE CHANGE	Topical Questions	Edward Davey	We are seeing a huge amount of activity in the North sea for offshore wind, and the beginnings for carbon capture and storage. About 18 months ago I brought together representatives from the oil and gas industry with representatives from the renewable industry working in the North sea. We need them to work together, particularly on issues such as regulation and the way infrastructure will develop. We need a longer-term plan, and we have been kicking that work off.
2015-03-19a.890.2	ENERGY AND CLIMATE CHANGE	Topical Questions	Matthew Offord	Will the Minister confirm to the House that it is not the policy of this Government, or indeed the next Conservative Government, to freeze energy prices just as the wholesale market starts to reduce in price?
2015-03-19a.890.3	ENERGY AND CLIMATE CHANGE	Topical Questions	Matthew Hancock	Absolutely. It is not the policy of the Government to freeze energy bills, not least at the level they were 18 months ago when we first received representations to do that. We have not chosen that path because we would end up with millions of consumers paying an average of £100 more for their electricity, and we would undermine investment, which is so critically needed, in the future of our energy system. It is a bad mistake and we will not do it.
2015-03-19a.890.4	ENERGY AND CLIMATE CHANGE	Topical Questions	Caroline Flint	I join the Secretary of State in thanking you, Mr Speaker, and others. Thursdays have become the ticket to have in questions, and there is no doubt that over the past four years energy has been front and centre of pretty much every debate across the policy range. I wish those on the Government Front Bench a happy retirement. On a serious note, the devastation wrought by Cyclone Pam in Vanuatu has reminded us that climate change is a national security threat, not just overseas but in Britain. It is vital that the UK plays a leading role to secure a binding global agreement to tackle climate change at the Paris conference later this year. Does the Secretary of State agree that we will secure influence abroad only if we show leadership at home, and will he reaffirm his support for Labour’s Climate Change Act 2008?
